masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,egflat,egflon,egfdep,magdif,s,s_fit_a,s_fit_b,s_fit_c,s_fc_std,s_fc_mean,p,p_fit_a,p_fit_b,p_fit_c,p_fc_std,p_fc_mean
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60216317,2018-10-19T12:28:07.560Z,1.37,36.2705,-89.4461667,6.2,0.55,4,9.86648002345347,8.8896638233984,4.1943192718558,0.231790051363229,4.08283975577239,2,16.6022494619611,4.83565484623002,2.57032556949641,0.317314670823077,2.27192914592276
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60216247,2018-10-18T23:55:57.420Z,1.29,36.2703333,-89.4461667,6.14,0.63,2,9.15847587945757,5.07855675245661,3.2312391219022,0.268709320446982,3.27632677038044,0,0,0,0,0,0
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60066528,2018-10-17T04:04:33.550Z,1.22,36.2703333,-89.4485,6.22,0.7,1,24.1186416515446,2.55854533764331,0.985181528599768,0.070420085070055,1.02551387615483,0,0,0,0,0,0
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60242691,2018-10-16T13:00:18.100Z,1.25,36.2681667,-89.449,6.14,0.67,3,10.0246439226852,5.05495740125314,3.11703529403698,0.273968324451235,3.18889521593461,1,36.4530019415798,4.70057531043558,1.00044941846635,0.055387990503845,1.01571990769488
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60242676,2018-10-16T07:06:54.210Z,1.4,36.2688333,-89.4481667,6.13,0.52,5,9.60283804134523,8.2363540429097,5.44667355544074,0.506547072775793,5.14064164683108,4,24.7478156972932,4.3759489671465,2.25113708404199,0.089669676446597,2.21481580611086
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60242671,2018-10-16T05:29:58.720Z,1.42,36.2688333,-89.4498333,6.27,0.5,3,23.0452426648965,4.34994697046372,2.00708442304999,0.13253330707566,1.99824759229309,0,0,0,0,0,0
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60241891,2018-10-07T05:34:43.960Z,1.29,36.2695,-89.4483333,6.41,0.63,2,20.6948774224727,3.28122284409998,1.38246131977649,0.091011660334838,1.44339342806136,1,40.4197836382949,8.15063633177271,1.68837931735509,0.059617174383558,1.66864929866161
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60241356,2018-10-02T12:29:16.430Z,1.4,36.2703333,-89.4466667,6.1,0.52,4,8.3375300496315,7.47816682920423,4.16109720946041,0.202649012154972,4.11406747653211,3,21.2568169611642,5.17936924703085,2.21096301131757,0.073989152895115,2.22980700762351
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60241091,2018-09-25T16:49:53.520Z,1.14,36.2693333,-89.4471667,5.95,0.78,3,8.50032147796907,3.15829078109819,2.88250812491846,0.596688416741361,2.83147260451842,1,42.6905254933092,6.52232282842822,1.60272518297013,0.060449281180762,1.51554228486391
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60241046,2018-09-24T14:00:45.130Z,1.35,36.27,-89.4456667,6.26,0.57,1,20.8923955778777,7.59587912026315,3.36205883804636,0.33267098231404,3.36720594297099,1,13.0416136679098,2.7401130297222,3.87098875649786,0.248581690442847,4.19319676193266
